attacker,victim,data,HR@10,HR@10_attack,HR@20,HR@20_attack,HR@50,HR@50_attack,HR@100,HR@100_attack
---,---,---,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,mf,game,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
segment,mf,game,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5
bandwagon,mf,game,0.0,0.48305889803673213,0.0,0.5,0.0,0.5,0.0,0.5
average,mf,game,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aush,mf,game,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aia,mf,game,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aushplus,mf,game,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,ncf,game,0.0,0.0,0.0,0.0,0.0,0.2585497150094997,0.0,0.5747308423052565
segment,ncf,game,0.0,0.0,0.0,0.04116529449018366,0.0,0.4713426219126029,0.0,0.49857504749841675
bandwagon,ncf,game,0.0,0.0,0.0,0.05050664977834072,0.0,0.17542748575047498,0.0,0.4474350854971501
average,ncf,game,0.0,0.0,0.0,0.0,0.0,0.2585497150094997,0.0,0.5747308423052565
aush,ncf,game,0.0,0.056998100063331225,0.0,0.7968651044965168,0.0,0.9996833438885371,0.0,0.9996833438885371
aia,ncf,game,0.0,0.0,0.0,0.0,0.0,0.009499683343888538,0.0,0.47450918302723244
aushplus,ncf,game,0.0,0.0,0.0,0.00047498416719442683,0.0,0.49984167194426854,0.0,0.49984167194426854
random,lightgcn,game,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
segment,lightgcn,game,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bandwagon,lightgcn,game,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
average,lightgcn,game,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aush,lightgcn,game,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aia,lightgcn,game,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aushplus,lightgcn,game,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,mf,ml1m,0.00020366598778004074,0.00020366598778004074,0.0014256619144602852,0.0006109979633401223,0.08625254582484725,0.03024439918533605,0.5,0.5
segment,mf,ml1m,0.00020366598778004074,0.00020366598778004074,0.0014256619144602852,0.0012219959266802445,0.08625254582484725,0.07260692464358452,0.5,0.5
bandwagon,mf,ml1m,0.00020366598778004074,0.00020366598778004074,0.0014256619144602852,0.0013238289205702647,0.08625254582484725,0.07321792260692464,0.5,0.5
average,mf,ml1m,0.00020366598778004074,0.00020366598778004074,0.0014256619144602852,0.0006109979633401223,0.08625254582484725,0.03024439918533605,0.5,0.5
